N,P,K,Crop
100,21,146,Mesta
84,16,194,Sapota
93,24,135,Mesta
131,30,189,Pomegranate
139,18,80,Navane (Foxtail Millet)
76,24,167,Fig
121,26,159,Avocado
115,27,153,Garlic
196,29,182,Tomato
62,17,95,Horse Gram
76,18,271,Sweet Potato
68,20,134,Sitaphal (Custard Apple)
116,19,159,Sunflower
184,21,147,Rice
194,30,146,Wheat
73,17,124,Sitaphal (Custard Apple)
54,10,85,Niger Seed
100,20,133,Chillies
94,21,108,Sesame
162,30,258,Grapes
101,20,179,Ginger
188,28,127,Wheat
182,21,290,Banana
134,28,117,Mustard
54,20,94,Sunhemp
128,14,116,Ragi (Finger Millet)
131,16,198,Orange
151,19,148,Rice
62,16,83,Avare (Field Bean)
111,17,100,Bajra (Pearl Millet)
146,27,155,Turmeric
151,23,230,Sugarcane
91,12,157,Tapioca
60,14,109,Niger Seed
63,20,141,Cashewnut
58,13,107,Niger Seed
101,15,164,Dragon Fruit
123,24,180,Lemon
171,30,161,Jackfruit
112,19,189,Sunflower
160,23,293,Banana
67,27,80,Bengal Gram (Chickpea)
122,24,109,Cotton
117,19,107,Bajra (Pearl Millet)
69,15,102,Horse Gram
169,15,225,Potato
67,15,113,Horse Gram
52,19,105,Green Gram (Moong)
74,20,122,Soybean
168,24,173,Maize
67,10,96,Horse Gram
82,22,147,Mesta
95,24,116,Mesta
144,16,147,Chillies
69,24,113,Tur (Arhar/Toor Dal)
80,25,183,Fig
130,22,154,Pomegranate
155,20,132,Wheat
101,24,176,Lemon
167,25,198,Maize
54,12,101,Sunhemp
60,16,137,Sitaphal (Custard Apple)
115,20,163,Dragon Fruit
65,13,90,Niger Seed
140,20,155,Avocado
181,16,139,Rice
126,26,138,Mustard
117,10,86,Ragi (Finger Millet)
81,24,149,Mesta
150,19,122,Cotton
126,24,189,Cabbage
150,15,110,Jowar (Sorghum)
59,15,114,Niger Seed
87,17,216,Sweet Potato
149,15,114,Castor
62,15,110,Groundnut
142,29,197,Avocado
75,28,125,Soybean
174,20,176,Onion
118,20,154,Orange
58,12,128,Coriander
93,19,192,Fig
191,24,155,Tomato
127,30,135,Mustard
74,16,101,Sitaphal (Custard Apple)
181,30,196,Jackfruit
57,19,143,Coriander
193,23,295,Potato
111,30,185,Pepper
105,25,163,Guava
53,14,102,Niger Seed
53,23,138,Tur (Arhar/Toor Dal)
165,29,160,Onion
112,23,183,Turmeric
83,25,157,Sapota
99,14,122,Watermelon
72,15,106,Cashewnut
114,26,163,Pepper
154,17,288,Sugarcane
113,24,157,Pomegranate
63,19,100,Cowpea
103,10,91,Bajra (Pearl Millet)
69,14,108,Niger Seed
131,20,158,Safflower
113,29,158,Pomegranate
196,17,157,Maize
71,10,115,Sunhemp
143,13,111,Ragi (Finger Millet)
131,16,107,Castor
127,16,96,Bajra (Pearl Millet)
99,15,268,Sweet Potato
109,16,200,Safflower
95,19,168,Sapota
85,17,81,Sesame
95,17,125,Linseed
122,25,153,Turmeric
123,22,120,Castor
112,19,113,Bajra (Pearl Millet)
165,21,220,Arecanut
129,20,158,Avocado
64,20,118,Coriander
126,26,154,Garlic
169,21,188,Tomato
159,23,126,Wheat
168,25,110,Rice
161,24,222,Arecanut
77,13,193,Tapioca
71,10,117,Sunhemp
110,16,88,Jowar (Sorghum)
66,18,102,Horse Gram
113,21,194,Garlic
101,27,199,Tobacco
79,20,140,Lichi
162,22,132,Wheat
161,30,197,Jackfruit
143,27,172,Avocado
84,23,190,Pineapple
136,27,105,Mustard
97,19,153,Fig
75,13,143,Coriander
95,10,132,Muskmelon
132,19,141,Chillies
54,11,145,Sitaphal (Custard Apple)
176,22,204,Sugarcane
187,27,159,Tomato
125,19,128,Chillies
86,16,100,Cardamom
102,16,189,Lemon
117,27,123,Mustard
66,14,92,Black Gram (Urad)
167,30,164,Tomato
99,17,209,Sweet Potato
108,10,161,Dragon Fruit
129,29,151,Tobacco
195,25,193,Onion
165,22,240,Mango
193,23,153,Jackfruit
136,12,166,Dragon Fruit
125,19,111,Navane (Foxtail Millet)
58,18,144,Tur (Arhar/Toor Dal)
132,20,177,Lemon
157,21,298,Mango
95,24,152,Fig
195,24,297,Banana
187,30,186,Jackfruit
74,17,111,Black Gram (Urad)
86,18,116,Watermelon
82,16,290,Sweet Potato
108,22,171,Guava
116,21,190,Cabbage
175,15,128,Paddy
93,11,191,Tapioca
177,17,252,Banana
63,17,107,Sunhemp
162,27,293,Grapes
86,16,194,Fig
100,25,156,Guava
147,26,168,Avocado
186,21,168,Onion
98,25,197,Pineapple
60,14,105,Sitaphal (Custard Apple)
67,25,103,Soybean
89,18,106,Cardamom
109,17,108,Navane (Foxtail Millet)
156,20,271,Arecanut
193,28,161,Onion
148,21,169,Safflower
149,24,179,Avocado
112,16,134,Chillies
121,26,197,Pepper
112,28,162,Ginger
116,14,85,Navane (Foxtail Millet)
163,24,298,Grapes
105,25,123,Cotton
134,14,87,Jowar (Sorghum)
170,27,200,Grapes
197,16,259,Sugarcane
51,17,101,Avare (Field Bean)
73,28,115,Bengal Gram (Chickpea)
173,24,189,Jackfruit
125,26,174,Turmeric
125,16,182,Sunflower
63,29,149,Soybean
117,25,145,Chillies
51,21,120,Cashewnut
128,10,173,Dragon Fruit
75,16,117,Muskmelon
184,22,202,Mango
84,20,194,Fig
74,16,144,Tur (Arhar/Toor Dal)
153,17,250,Coconut
116,21,178,Pomegranate
128,28,178,Pomegranate
111,10,100,Jowar (Sorghum)
142,15,107,Ragi (Finger Millet)
109,18,124,Castor
101,21,190,Guava
116,15,108,Navane (Foxtail Millet)
51,14,99,Cowpea
93,23,96,Sesame
109,26,163,Turmeric
150,15,82,Navane (Foxtail Millet)
64,13,137,Coriander
50,10,115,Sunhemp
132,28,163,Guava
77,25,195,Pineapple
194,24,176,Tomato
77,18,93,Sesame
77,17,118,Mesta
117,18,158,Cabbage
198,25,216,Arecanut
149,28,158,Pepper
118,26,153,Turmeric
143,27,162,Pepper
148,30,156,Ginger
57,15,89,Sunhemp
129,19,113,Bajra (Pearl Millet)
53,22,112,Bengal Gram (Chickpea)
107,16,108,Castor
57,17,134,Tur (Arhar/Toor Dal)
112,21,157,Sunflower
67,22,139,Cashewnut
118,17,175,Sunflower
86,18,117,Lichi
142,15,104,Bajra (Pearl Millet)
189,24,148,Wheat
71,17,110,Tur (Arhar/Toor Dal)
139,14,117,Jowar (Sorghum)
70,13,117,Horse Gram
179,25,176,Jackfruit
56,21,116,Avare (Field Bean)
117,21,118,Castor
64,24,117,Groundnut
76,25,164,Fig
191,25,183,Tomato
151,25,258,Grapes
140,29,161,Guava
195,20,122,Wheat
176,23,151,Maize
66,20,80,Avare (Field Bean)
177,23,264,Grapes
148,17,109,Bajra (Pearl Millet)
151,17,292,Potato
130,25,194,Avocado
154,25,160,Tomato
193,16,207,Potato
180,15,284,Banana
187,18,273,Banana
61,18,83,Horse Gram
84,16,252,Sweet Potato
77,25,151,Pineapple
183,23,223,Arecanut
131,21,182,Pomegranate
136,25,169,Pomegranate
78,24,180,Fig
165,28,299,Mango
52,22,100,Groundnut
89,15,108,Muskmelon
198,25,177,Onion
62,17,149,Groundnut
63,26,120,Soybean
59,18,88,Horse Gram
74,23,127,Groundnut
185,17,279,Potato
50,18,91,Horse Gram
113,21,155,Pepper
69,13,86,Black Gram (Urad)
164,21,253,Sugarcane
68,24,100,Soybean
100,19,107,Jowar (Sorghum)
52,20,150,Cashewnut
172,21,121,Paddy
173,22,243,Sugarcane
127,17,172,Cabbage
145,28,190,Pepper
144,23,198,Avocado
134,20,197,Dragon Fruit
66,18,113,Niger Seed
137,24,163,Lemon
192,19,277,Sugarcane
107,16,127,Cotton
93,17,145,Mesta
51,19,101,Avare (Field Bean)
117,28,163,Guava
193,22,172,Jackfruit
102,16,190,Dragon Fruit
114,17,105,Ragi (Finger Millet)
141,30,195,Pepper
128,14,109,Ragi (Finger Millet)
74,13,95,Cowpea
158,26,171,Jackfruit
61,28,144,Soybean
79,17,109,Mesta
137,18,101,Navane (Foxtail Millet)
138,20,194,Tobacco
109,19,173,Dragon Fruit
172,25,104,Rice
75,23,197,Fig
77,17,194,Fig
63,18,112,Sitaphal (Custard Apple)
100,16,288,Sweet Potato
90,10,144,Muskmelon
194,25,282,Mango
145,18,104,Cotton
99,24,151,Sapota
144,20,198,Pomegranate
119,27,176,Pomegranate
81,18,190,Fig
186,19,118,Paddy
143,20,120,Jowar (Sorghum)
52,12,88,Green Gram (Moong)
53,20,88,Cowpea
140,23,197,Guava
189,22,159,Maize
121,24,196,Ginger
59,20,96,Horse Gram
131,23,164,Safflower
153,25,294,Potato
97,11,138,Lichi
150,22,236,Potato
155,21,229,Arecanut
118,17,134,Cotton
97,15,132,Linseed
67,18,122,Sitaphal (Custard Apple)
127,10,101,Ragi (Finger Millet)
100,24,169,Fig
88,21,164,Pineapple
189,20,191,Onion
60,21,90,Avare (Field Bean)
200,18,123,Rice
141,24,191,Avocado
139,16,189,Dragon Fruit
144,17,104,Jowar (Sorghum)
162,17,239,Sugarcane
78,13,142,Watermelon
150,21,156,Onion
155,21,185,Maize
137,17,190,Lemon
199,29,184,Onion
133,19,163,Sunflower
53,21,89,Bengal Gram (Chickpea)
200,25,248,Arecanut
78,19,117,Muskmelon
144,25,153,Orange
104,24,146,Chillies
187,16,230,Potato
76,15,200,Fig
150,28,180,Tobacco
100,20,123,Muskmelon
175,22,218,Arecanut
172,24,289,Mango
56,21,145,Soybean
97,23,172,Sapota
138,24,120,Chillies
69,20,110,Niger Seed
101,16,189,Lemon
148,20,86,Ragi (Finger Millet)
184,20,193,Tomato
55,11,120,Horse Gram
121,10,109,Bajra (Pearl Millet)
102,16,187,Sunflower
179,17,108,Paddy
188,27,126,Wheat
198,25,138,Wheat
102,20,136,Mustard
144,17,177,Orange
116,25,170,Lemon
55,20,122,Soybean
144,21,146,Cotton
132,25,184,Orange
64,30,115,Bengal Gram (Chickpea)
67,13,118,Coriander
103,22,174,Ginger
197,23,289,Coconut
193,24,294,Coconut
192,20,250,Arecanut
77,14,144,Watermelon
110,18,114,Cotton
120,26,184,Garlic
55,18,108,Black Gram (Urad)
82,24,186,Fig
85,14,143,Lichi
117,18,179,Orange
81,12,161,Tapioca
100,25,115,Cardamom
70,15,117,Horse Gram
68,15,99,Niger Seed
89,19,184,Pineapple
155,20,269,Sugarcane
61,12,95,Cowpea
50,20,116,Sunhemp
74,12,111,Coriander
86,13,117,Lichi
114,27,184,Garlic
69,10,99,Cowpea
147,29,150,Tobacco
132,19,121,Castor
114,29,160,Guava
132,10,90,Navane (Foxtail Millet)
104,10,96,Bajra (Pearl Millet)
57,18,82,Avare (Field Bean)
132,25,138,Castor
114,19,120,Cotton
60,20,94,Avare (Field Bean)
97,25,183,Fig
178,23,192,Jackfruit
168,24,107,Paddy
90,11,100,Muskmelon
57,21,146,Soybean
74,17,132,Groundnut
169,23,161,Jackfruit
71,23,105,Bengal Gram (Chickpea)
116,19,164,Safflower
58,20,90,Bengal Gram (Chickpea)
63,22,92,Avare (Field Bean)
121,19,91,Navane (Foxtail Millet)
154,25,129,Rice
64,19,84,Black Gram (Urad)
123,20,113,Mustard
123,29,162,Guava
126,26,160,Turmeric
87,25,118,Cardamom
138,17,120,Jowar (Sorghum)
199,30,290,Grapes
129,22,164,Pepper
155,24,165,Onion
105,30,156,Tobacco
108,17,150,Castor
133,20,162,Lemon
75,12,134,Watermelon
115,29,151,Turmeric
142,16,86,Bajra (Pearl Millet)
185,15,299,Sugarcane
74,19,119,Sunhemp
67,11,129,Sitaphal (Custard Apple)
173,22,232,Grapes
179,18,215,Potato
107,17,104,Ragi (Finger Millet)
145,20,161,Ginger
117,21,184,Lemon
68,14,80,Horse Gram
95,16,168,Sapota
154,20,110,Rice
178,23,269,Grapes
101,25,192,Guava
173,29,195,Onion
62,11,147,Sitaphal (Custard Apple)
130,29,190,Garlic
75,18,87,Black Gram (Urad)
145,20,119,Ragi (Finger Millet)
164,22,188,Tomato
70,20,113,Avare (Field Bean)
92,13,146,Muskmelon
140,23,151,Guava
153,22,104,Rice
170,24,279,Arecanut
134,25,158,Ginger
161,25,257,Grapes
199,24,150,Maize
165,21,286,Arecanut
68,20,150,Tur (Arhar/Toor Dal)
67,16,150,Tur (Arhar/Toor Dal)
142,29,155,Guava
58,11,104,Coriander
114,23,161,Avocado
72,19,115,Sitaphal (Custard Apple)
81,14,100,Muskmelon
151,22,290,Mango
59,19,87,Sunhemp
58,20,123,Groundnut
110,16,179,Cabbage
188,15,178,Maize
97,16,118,Cardamom
81,16,110,Lichi
96,17,102,Watermelon
117,28,198,Avocado
102,18,130,Cotton
85,17,85,Sesame
114,20,185,Avocado
135,14,116,Navane (Foxtail Millet)
150,25,208,Mango
53,16,87,Sunhemp
122,17,151,Cabbage
166,20,248,Mango
152,30,195,Onion
70,18,89,Black Gram (Urad)
56,30,117,Soybean
67,13,81,Horse Gram
164,20,276,Banana
151,24,195,Maize
140,13,98,Ragi (Finger Millet)
182,24,140,Wheat
154,24,291,Grapes
105,25,165,Sunflower
55,23,113,Bengal Gram (Chickpea)
156,26,124,Wheat
92,15,189,Fig
141,22,167,Sunflower
118,19,131,Chillies
170,22,137,Wheat
110,18,174,Orange
104,18,92,Ragi (Finger Millet)
168,16,226,Potato
100,24,175,Cabbage
195,22,119,Wheat
127,23,120,Mustard
107,26,194,Guava
137,25,178,Ginger
50,16,122,Tur (Arhar/Toor Dal)
120,18,127,Chillies
185,20,243,Grapes
95,15,106,Mesta
150,27,175,Avocado
151,21,176,Onion
64,20,106,Bengal Gram (Chickpea)
189,19,247,Coconut
110,25,165,Lemon
108,17,179,Safflower
73,14,149,Sitaphal (Custard Apple)
157,23,141,Paddy
115,20,129,Chillies
69,16,90,Black Gram (Urad)
126,23,191,Sunflower
78,20,203,Sweet Potato
151,29,107,Wheat
64,13,81,Horse Gram
198,18,267,Banana
128,22,180,Lemon
89,15,164,Pineapple
157,28,272,Grapes
97,20,173,Tapioca
71,12,95,Green Gram (Moong)
140,10,98,Navane (Foxtail Millet)
197,20,285,Potato
142,30,183,Avocado
58,12,118,Niger Seed
58,29,103,Soybean
58,17,103,Black Gram (Urad)
106,24,187,Pomegranate
116,23,156,Cabbage
120,22,181,Safflower
114,24,105,Chillies
70,11,122,Sitaphal (Custard Apple)
166,22,166,Maize
130,23,167,Avocado
75,12,82,Niger Seed
121,29,189,Garlic
186,20,121,Paddy
192,27,290,Arecanut
139,11,111,Jowar (Sorghum)
76,15,244,Sweet Potato
82,17,101,Watermelon
124,21,162,Safflower
105,12,87,Ragi (Finger Millet)
85,18,141,Lichi
66,15,81,Cowpea
192,20,214,Potato
108,28,165,Pepper
101,14,181,Dragon Fruit
150,27,171,Avocado
99,15,103,Sesame
100,18,152,Pineapple
93,23,293,Sweet Potato
161,29,227,Arecanut
90,19,134,Mesta
78,11,170,Tapioca
56,20,108,Soybean
62,13,118,Sunhemp
164,25,216,Arecanut
111,19,91,Bajra (Pearl Millet)
56,17,89,Sunhemp
167,20,188,Onion
152,18,211,Sugarcane
84,17,111,Linseed
174,20,134,Paddy
140,20,174,Turmeric
63,16,113,Sunhemp
176,23,182,Maize
111,15,165,Cabbage
166,20,296,Potato
185,29,199,Tomato
108,12,109,Jowar (Sorghum)
75,12,92,Black Gram (Urad)
102,12,103,Ragi (Finger Millet)
135,17,158,Dragon Fruit
108,20,200,Avocado
128,16,141,Castor
63,18,87,Niger Seed
167,27,205,Mango
65,19,86,Black Gram (Urad)
87,25,162,Fig
100,20,141,Cotton
160,22,263,Banana
138,28,150,Guava
188,28,155,Tomato
58,24,121,Groundnut
197,28,211,Grapes
181,21,230,Potato
69,20,150,Tur (Arhar/Toor Dal)
57,14,112,Green Gram (Moong)
66,22,93,Bengal Gram (Chickpea)
87,18,193,Sapota
164,15,147,Paddy
84,23,199,Sapota
98,19,166,Pineapple
60,15,92,Horse Gram
85,16,292,Sweet Potato
67,13,133,Sitaphal (Custard Apple)
126,21,117,Mustard
54,11,86,Cowpea
115,14,110,Jowar (Sorghum)
163,23,238,Grapes
91,15,179,Fig
66,15,88,Horse Gram
59,16,89,Avare (Field Bean)
100,18,179,Cabbage
153,30,281,Grapes
136,25,188,Sunflower
188,23,201,Grapes
102,18,110,Castor
59,13,131,Sitaphal (Custard Apple)
116,21,162,Guava
138,12,175,Dragon Fruit
198,17,274,Coconut
187,20,281,Mango
140,17,176,Cabbage
67,28,121,Soybean
103,20,159,Garlic
146,25,100,Mustard
130,19,152,Lemon
107,20,200,Turmeric
190,28,226,Grapes
140,14,88,Bajra (Pearl Millet)
124,20,80,Navane (Foxtail Millet)
71,10,115,Green Gram (Moong)
103,28,171,Pomegranate
52,17,114,Sitaphal (Custard Apple)
122,21,189,Pomegranate
109,29,170,Avocado
90,10,111,Watermelon
164,23,116,Wheat
136,21,177,Orange
72,14,121,Sitaphal (Custard Apple)
79,16,107,Muskmelon
99,14,178,Tapioca
75,19,86,Sesame
72,21,107,Tur (Arhar/Toor Dal)
176,30,244,Mango
108,16,196,Sunflower
155,19,277,Banana
52,17,134,Groundnut
78,15,173,Pineapple
129,20,169,Guava
125,22,163,Tobacco
76,14,150,Watermelon
167,19,139,Paddy
124,25,156,Cabbage
72,12,107,Green Gram (Moong)
159,30,191,Tomato
198,19,274,Sugarcane
81,17,213,Sweet Potato
166,28,129,Wheat
108,12,114,Ragi (Finger Millet)
56,16,87,Niger Seed
160,22,258,Potato
86,24,131,Mesta
121,25,179,Pomegranate
167,19,100,Paddy
109,24,186,Ginger
76,25,187,Pineapple
154,17,287,Banana
62,29,116,Soybean
63,23,132,Groundnut
124,24,192,Orange
110,21,167,Safflower
161,25,186,Jackfruit
170,16,141,Rice
106,24,154,Cabbage
60,10,129,Sitaphal (Custard Apple)
117,20,133,Mustard
106,23,189,Safflower
121,28,154,Turmeric
199,20,292,Banana
141,15,193,Sunflower
80,25,134,Cardamom
155,20,135,Wheat
90,20,122,Muskmelon
132,19,195,Safflower
188,21,168,Jackfruit
192,20,192,Onion
140,18,145,Chillies
88,16,126,Cardamom
73,19,107,Tur (Arhar/Toor Dal)
61,24,81,Bengal Gram (Chickpea)
156,23,158,Maize
51,20,95,Horse Gram
150,16,183,Dragon Fruit
64,18,140,Groundnut
54,28,81,Bengal Gram (Chickpea)
89,25,103,Sesame
154,19,104,Rice
81,10,134,Muskmelon
121,20,185,Garlic
187,19,278,Banana
178,20,184,Tomato
194,20,176,Jackfruit
92,18,145,Linseed
90,23,131,Cardamom
198,20,157,Maize
110,12,92,Ragi (Finger Millet)
100,20,199,Tobacco
161,21,251,Sugarcane
95,18,106,Mesta
85,11,100,Watermelon
102,20,193,Ginger
75,12,89,Horse Gram
177,20,188,Tomato
53,15,101,Coriander
87,15,154,Pineapple
200,15,189,Maize
146,17,182,Sunflower
145,30,171,Avocado
76,22,266,Sweet Potato
131,19,196,Safflower
118,19,108,Navane (Foxtail Millet)
53,19,104,Horse Gram
54,25,124,Soybean
196,20,141,Wheat
147,22,188,Turmeric
196,27,259,Mango
116,30,169,Guava
122,15,114,Navane (Foxtail Millet)
71,19,97,Horse Gram
140,12,94,Navane (Foxtail Millet)
100,12,118,Muskmelon
137,23,162,Orange
99,22,293,Sweet Potato
76,19,193,Sapota
120,11,120,Jowar (Sorghum)
53,18,145,Tur (Arhar/Toor Dal)
140,26,166,Turmeric
53,20,111,Bengal Gram (Chickpea)
100,16,115,Ragi (Finger Millet)
177,16,242,Coconut
192,17,168,Maize
137,10,172,Dragon Fruit
145,17,92,Jowar (Sorghum)
122,20,158,Pomegranate
69,14,99,Niger Seed
130,20,169,Dragon Fruit
176,27,300,Mango
76,15,160,Sapota
124,19,163,Sunflower
183,21,233,Arecanut
75,20,180,Fig
64,24,113,Soybean
175,19,128,Rice
76,15,270,Sweet Potato
97,12,120,Watermelon
141,12,111,Jowar (Sorghum)
109,19,166,Cabbage
185,18,299,Banana
127,29,134,Mustard
110,22,161,Safflower
122,23,159,Cabbage
131,27,168,Garlic
114,28,183,Turmeric
68,16,119,Groundnut
75,20,217,Sweet Potato
153,24,171,Jackfruit
134,12,93,Jowar (Sorghum)
123,22,131,Cotton
117,28,153,Tobacco
78,20,128,Cardamom
97,16,113,Muskmelon
132,15,137,Castor
101,22,164,Safflower
53,16,129,Tur (Arhar/Toor Dal)
157,25,228,Sugarcane
125,24,198,Safflower
55,16,86,Avare (Field Bean)
142,17,200,Orange
77,13,191,Tapioca
146,19,126,Cotton
170,27,266,Mango
124,12,105,Bajra (Pearl Millet)
142,16,179,Sunflower
122,19,172,Sunflower
96,18,173,Sapota
56,12,95,Black Gram (Urad)
58,16,109,Sunhemp
183,22,102,Rice
115,10,101,Navane (Foxtail Millet)
152,28,237,Grapes
107,22,187,Pepper
71,13,104,Black Gram (Urad)
180,16,300,Sugarcane
65,23,146,Soybean
126,21,171,Pomegranate
92,21,178,Fig
92,14,121,Watermelon
109,17,185,Sunflower
174,25,266,Grapes
67,12,88,Cowpea
94,15,106,Muskmelon
126,20,188,Sunflower
147,21,176,Orange
137,28,151,Turmeric
51,11,108,Green Gram (Moong)
172,26,277,Arecanut
177,27,149,Wheat
68,11,107,Black Gram (Urad)
51,14,120,Coriander
130,29,115,Mustard
136,17,162,Orange
57,11,105,Sunhemp
75,22,108,Bengal Gram (Chickpea)
93,19,115,Lichi
192,30,170,Jackfruit
114,12,150,Dragon Fruit
132,13,100,Bajra (Pearl Millet)
135,25,196,Turmeric
93,24,253,Sweet Potato
128,25,186,Tobacco
197,28,250,Mango
66,16,89,Green Gram (Moong)
137,23,106,Cotton
81,17,106,Sesame
139,17,160,Dragon Fruit
140,21,168,Safflower
114,23,105,Mustard
50,19,117,Niger Seed
112,26,179,Pomegranate
80,17,145,Mesta
121,22,196,Safflower
170,20,101,Paddy
183,25,295,Mango
127,22,125,Cotton
196,18,222,Coconut
67,23,147,Tur (Arhar/Toor Dal)
122,15,177,Sunflower
183,30,192,Tomato
136,26,174,Garlic
185,25,152,Jackfruit
75,12,130,Muskmelon
65,15,115,Green Gram (Moong)
109,10,108,Ragi (Finger Millet)
122,30,180,Ginger
140,22,180,Pomegranate
163,23,220,Grapes
102,25,162,Guava
55,20,104,Black Gram (Urad)
173,27,299,Arecanut
174,22,177,Onion
192,16,280,Potato
55,17,101,Tur (Arhar/Toor Dal)
88,18,123,Muskmelon
154,20,158,Onion
118,16,144,Chillies
70,15,112,Groundnut
134,22,199,Sunflower
163,28,150,Tomato
174,16,219,Potato
95,12,149,Watermelon
74,12,115,Horse Gram
178,22,262,Coconut
64,12,127,Sitaphal (Custard Apple)
185,16,291,Sugarcane
199,18,229,Sugarcane
118,23,110,Cotton
181,22,271,Potato
76,23,116,Mesta
121,25,100,Cotton
81,16,87,Sesame
91,22,219,Sweet Potato
105,20,116,Chillies
52,21,80,Bengal Gram (Chickpea)
133,21,101,Castor
189,20,170,Maize
175,24,190,Maize
167,23,178,Maize
141,18,154,Safflower
74,19,125,Groundnut
80,15,149,Muskmelon
138,27,123,Mustard
123,11,107,Jowar (Sorghum)
105,24,151,Safflower
195,23,300,Potato
60,21,146,Groundnut
150,22,195,Pomegranate
113,18,177,Safflower
125,25,192,Lemon
73,23,107,Cashewnut
146,19,131,Cotton
193,15,240,Potato
95,17,104,Watermelon
65,20,105,Green Gram (Moong)
119,25,198,Pepper
115,11,88,Jowar (Sorghum)
95,15,180,Sapota
199,29,297,Grapes
69,10,119,Sunhemp
72,15,140,Tur (Arhar/Toor Dal)
134,21,151,Turmeric
160,26,186,Jackfruit
138,25,178,Pepper
117,26,114,Mustard
188,18,293,Coconut
147,27,193,Pomegranate
185,22,258,Banana
144,23,130,Chillies
200,22,178,Jackfruit
181,26,253,Mango
51,19,116,Cashewnut
145,26,180,Tobacco
124,16,166,Safflower
105,25,170,Cabbage
132,27,166,Turmeric
190,28,254,Mango
74,20,85,Sunhemp
71,14,118,Niger Seed
60,25,138,Cashewnut
104,15,200,Dragon Fruit
73,24,102,Avare (Field Bean)
150,21,177,Garlic
82,25,216,Sweet Potato
87,14,130,Lichi
84,21,161,Pineapple
75,20,84,Sunhemp
106,22,144,Cotton
153,15,299,Sugarcane
95,14,146,Linseed
127,21,149,Chillies
166,20,277,Banana
137,24,164,Cabbage
112,20,118,Chillies
67,13,114,Green Gram (Moong)
65,22,81,Avare (Field Bean)
96,19,114,Lichi
174,22,269,Sugarcane
75,14,110,Niger Seed
70,28,100,Bengal Gram (Chickpea)
108,22,200,Safflower
164,15,269,Potato
52,23,148,Tur (Arhar/Toor Dal)
91,11,152,Tapioca
157,16,131,Rice
120,16,162,Orange
130,16,94,Ragi (Finger Millet)
175,20,186,Maize
192,22,249,Arecanut
187,27,201,Grapes
135,28,117,Mustard
173,23,179,Tomato
163,24,137,Paddy
51,18,83,Green Gram (Moong)
101,20,190,Avocado
54,21,126,Groundnut
150,30,195,Ginger
143,17,177,Dragon Fruit
70,20,123,Cashewnut
54,13,118,Green Gram (Moong)
116,10,91,Ragi (Finger Millet)
170,27,235,Mango
151,24,118,Wheat
139,25,109,Chillies
66,21,124,Groundnut
58,19,99,Avare (Field Bean)
140,15,106,Ragi (Finger Millet)
94,23,163,Fig
137,21,166,Avocado
57,18,113,Cowpea
159,18,142,Rice
68,17,149,Sitaphal (Custard Apple)
115,18,150,Cotton
67,29,84,Bengal Gram (Chickpea)
120,25,160,Avocado
153,22,225,Sugarcane
76,19,231,Sweet Potato
134,28,157,Pomegranate
61,14,98,Sunhemp
105,24,183,Ginger
91,18,149,Lichi
141,25,191,Sunflower
143,25,193,Turmeric
125,22,163,Guava
52,23,144,Tur (Arhar/Toor Dal)
68,27,80,Bengal Gram (Chickpea)
171,22,164,Onion
127,17,118,Jowar (Sorghum)
53,18,106,Cashewnut
147,24,187,Lemon
81,12,135,Lichi
94,21,180,Fig
58,19,117,Horse Gram
103,24,165,Cabbage
84,10,100,Watermelon
114,23,105,Chillies
120,15,200,Dragon Fruit
94,20,296,Sweet Potato
143,24,161,Pepper
135,18,183,Safflower
191,24,174,Tomato
120,20,200,Dragon Fruit
101,21,171,Tobacco
169,15,109,Rice
84,21,140,Cardamom
170,26,296,Mango
75,22,119,Soybean
72,16,133,Coriander
153,21,281,Coconut
176,16,148,Paddy
81,13,150,Muskmelon
173,24,191,Onion
100,23,192,Ginger
136,26,200,Guava
89,18,154,Pineapple
128,21,185,Turmeric
90,19,143,Linseed
78,17,184,Sapota
183,25,279,Arecanut
73,14,115,Green Gram (Moong)
80,10,106,Muskmelon
103,15,149,Chillies
143,24,163,Sunflower
104,25,174,Ginger
171,17,224,Potato
164,17,248,Potato
52,23,101,Tur (Arhar/Toor Dal)
65,20,112,Groundnut
53,13,136,Sitaphal (Custard Apple)
86,24,161,Pineapple
150,15,178,Sunflower
197,29,188,Onion
71,26,96,Bengal Gram (Chickpea)
65,20,89,Niger Seed
183,23,280,Banana
93,17,180,Pineapple
56,11,90,Green Gram (Moong)
120,21,128,Cotton
90,16,106,Muskmelon
75,15,130,Tur (Arhar/Toor Dal)
149,24,175,Pepper
88,19,156,Pineapple
84,18,119,Lichi
105,10,94,Navane (Foxtail Millet)
122,30,198,Ginger
120,24,186,Lemon
161,29,186,Tomato
71,18,107,Horse Gram
67,19,102,Horse Gram
149,22,194,Safflower
94,16,168,Sapota
59,11,80,Green Gram (Moong)
52,12,97,Cowpea
75,14,100,Lichi
108,22,152,Guava
161,30,193,Tomato
104,12,112,Jowar (Sorghum)
86,14,182,Tapioca
124,23,166,Ginger
69,15,118,Sunhemp
155,24,160,Tomato
118,25,161,Turmeric
121,26,193,Pomegranate
104,25,168,Tobacco
153,23,286,Sugarcane
75,18,148,Sitaphal (Custard Apple)
51,28,118,Bengal Gram (Chickpea)
67,15,115,Sunhemp
